"authorId","lang","fullName","firstName","particle","lastName","pseudonym","wikidataId","sex","birth","death","floruit","profession","source","comment"
1,"als","Ferdinand Bastian","Ferdinand",,"Bastian",,"Q13099282","M",,,,,,
2,"als","Ernst Clausen","Ernst",,"Clausen",,"Q1122154","M",,,,,,
3,"als","Paul Clemens","Paul",,"Clemens",,"Q96464291","M",,,,,,
4,"als","Ernst Fuchs","Ernst",,"Fuchs",,"Q96464816","M",,,,,,
5,"als","Julius Greber","Julius",,"Greber",,"Q91904226","M",,,,,,
6,"als","Hermann Günther","Hermann",,"Günther",,"Q96475104","M",,,,,,
7,"als","Emilie Hahn","Emilie",,"Hahn",,"Q96475210","F",,,,,,
8,"als","Marie Hart","Marie",,"Hart",,"Q1897363","F",,,,,,
9,"als","Adolphe Horsch","Adolphe",,"Horsch",,"Q13099277","M",,,,,,
10,"als","Martin Huck","Martin",,"Huck",,"Q96482470","M",,,,,,
11,"als","Camille Jost","Camille",,"Jost",,"Q96489174","M",,,,,,
12,"als","H Kleisecker","H",,"Kleisecker",,"Q96497696","M",,,,,,
13,"als","Fernand Kuehne","Fernand",,"Kuehne",,"Q96622965","M",,,,,,
14,"als","Gustav Lasch","Gustav",,"Lasch",,"Q96634160","M",,,,,,
15,"als","Jean Thomas Mangold","Jean Thomas",,"Mangold",,"Q52084151","M",,,,,,
16,"als","Josef Meyer","Josef",,"Meyer",,"Q95257452","M",,,,,,
17,"als","F. X. Neukirch","F. X.",,"Neukirch",,"Q96655360","M",,,,,,
18,"als","Léon Pfiffer","Léon",,"Pfiffer",,"Q96680825","M",,,,,,
19,"als","Alphonse Pick","Alphonse",,"Pick",,"Q3089560","M",,,,,,
20,"als","Charles Rath","Charles",,"Rath",,"Q94896314","M",,,,,,
21,"als","Jean Riff","Jean",,"Riff",,"Q96696621","M",,,,,,
22,"als","Heinrich Schneegans","Heinrich",,"Schneegans",,"Q1598786","M",,,,,,
23,"als","Albert Schott","Albert",,"Schott",,"Q96749138","M",,,,,,
24,"als","Xavier Sengelin","Xavier",,"Sengelin",,"Q96761607","M",,,,,,
25,"als","Gustave Stoskopf","Gustave",,"Stoskopf",,"Q923554","M",,,,,,
27,"als","Emile Wagner","Emile",,"Wagner",,"Q97034509","M",,,,,,
