workId,lang,decadePrint,decadeFirstPrint,decade,decadeOld,diff,characterId,cl,isGrp,cGrp,persName,roleDesc,sex,age,profession,normalizedProfession,modifier,professionalGroupMethal,professionalGroupNoVal,professionalGroup,profGrpSelected,profGrpCoarse,profGrpCoarser,role,title,socialClassOrig,socialClassAuto,socialClass,cfSoc,origin,raceOrEthnicity,accentDialect,relations,normalizedRelation,genre,comments
001,als,1910,1810,1810,,100,1,1,0,,Herr Starkhans,Schifffsbauer und großer Ratsherr,M,,Schiffsbauer|großer Ratsherr,shipbuilder,,industry and transportation,industry & transportation,industry & transportation,industry & transportation,bourgeoisie other,bourgeoisie,,,UC,LC,UC,0,,,,,,,
001,als,1910,1810,1810,,100,2,1,0,,Frau Dorothee (Dorthee),seine Gattin,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,3,1,0,,Lieschen (Lissel),ihre Tochter,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,4,1,0,,Herr Mehlbrüh (Mehlbrüej),Feuerspritzmacher und kleiner Ratsherr,M,,Feuerspritzmacher|kleiner Ratsherr,manufacturer,,industry and transportation,industry & transportation,industry & transportation,industry & transportation,bourgeoisie other,bourgeoisie,,,UC,UMC,UC,0,,,,,,,
001,als,1910,1810,1810,,100,5,1,0,,Frau Rosine,seine Gattin,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,6,1,0,,Wolfgang,"ihr Sohn, Magister der Philosophie und Abendprediger",M,,Abendprediger,,,clergy,clergy,clergy,clergy,clergy,authority,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,7,1,0,,Christinchen (Christinel),Mündel (Vogtskind) Herrn Mehlbrühs,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,8,1,0,,Lizenziat Mehlbrüh,des Vorigen Vetter,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,9,1,0,,Reinhold,"von Bremen, der Medizin beflißener",M,,der Medizin beflißener,medical doctor,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UMC,UC,0,,,,,,,
001,als,1910,1810,1810,,100,10,1,0,,Fr. Prechterin (Prechtere),Witwe,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,11,1,0,,Klärchen (Klärel),ihre Tochter,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,12,1,0,,Gläsler,"von Kaisersberg, Kaufmann in Colmar wohnhaft",M,,Kaufmann,merchant,,service and sales,service & sales,service & sales,service & sales,commerce & services,bourgeoisie,,,UMC,LMC,UMC,0,,,,,,,
001,als,1910,1810,1810,,100,13,1,0,,Pfarrer Christlieb,aus dem Ortenauischen,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,14,1,0,,Barbara (Berwel),Nachbarin,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
001,als,1910,1810,1810,,100,15,1,0,,Brigitte (Bryd),Magd,F,,Magd,housemaid,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,,,,
001,als,1910,1810,1810,,100,16,1,0,,Claus,Bauer aus dem Kochersberg,M,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
002,als,0,1900,1900,,0,1,1,0,,Antoine Ropfer,Apotheker,M,,Apotheker,pharmacist,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,,,,
002,als,0,1900,1900,,0,2,1,0,,Emilie,dessen Frau,F,,,,,,,,,,,,,,#N/A,,0,,,,Frau(1),wife(1),,
002,als,0,1900,1900,,0,3,1,0,,Jeanne, ,F,,,,,,,,,,,,,,#N/A,,0,,,,"Tochter(1,2)","daughter(1,2)",,
002,als,0,1900,1900,,0,4,1,0,,Anatol,Onkel der Vorigen,M,,,,,,,,,,,,,,#N/A,,0,,,,Onkel(2),uncle(2),,
002,als,0,1900,1900,,0,5,1,0,,Jules Salber,Commis b. Ropfer,M,,Commis,pharmacy assistant,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,LMC,UC,LMC,0,,,,Angestellter(1),employee(1),,
002,als,0,1900,1900,,0,6,1,0,,Albert Reißer,junger Arzt,M,,Arzt,doctor,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,,,,
002,als,0,1900,1900,,0,7,1,0,,Madame Susanne Schmidt,,F,,,,,,,,,,,,,,#N/A,,0,,,,,,,
002,als,0,1900,1900,,0,8,1,0,,Susanne,deren Tochter,F,,,,,,,,,,,,,,#N/A,,0,,,,Tochter(7),daughter(7),,
002,als,0,1900,1900,,0,9,1,0,,Schampetiß Schneider (gen. Général),Factotum bei Ropfer,M,,Factotum,domestic worker,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,Hilfskraft(1),helper(1),,
002,als,0,1900,1900,,0,10,1,0,,Ammej,"Wäscherin, dessen Frau",F,,Wäscherin,laundress,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,Frau(9),wife(9),,
002,als,0,1900,1900,,0,11,1,0,,Jean,Zimmerkellner (im Hotel Zum stolzen Hahn in Baden-Baden),M,,Zimmerkellner,hotel helper,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LMC,LC,LMC,0,,,,,,,
002,als,0,1900,1900,,0,12,1,0,,Marie,Magd (im Hotel Zum stolzen Hahn in Baden-Baden),F,,Magd,hotel maid,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,,,,
002,als,0,1900,1900,,0,13,1,0,,Wanda Stern,eine Schauspielerin,F,,Schauspielerin,actress,,"professionals, scientific, technical",artist,artists,artists,artists,artists,,,LMC,LMC,LMC,0,,,,,,,
002,als,0,1900,1900,,0,14,1,0,,Piefke,ein fremder Herr,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
002,als,0,1900,1900,,0,15,1,0,,D’r Chrischtenatz,ein Bauer,M,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,LC,LC,LC,0,,,,,,,
002,als,0,1900,1900,,0,16,0,0,,Erster Handwerker,,M,,Handwerker,craftsman,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,LC,LC,LC,0,,,,,,,
002,als,0,1900,1900,,0,17,0,0,,Zweiter Handwerker,,M,,Handwerker,craftsman,,crafts,crafts,crafts,crafts,crafts,bourgeoisie,,,LC,LC,LC,0,,,,,,,
003,als,0,1900,1900,,0,1,1,0,,Fritz Grinsinger,Konservenfabrikant,M,,Konservenfabrikant,manufacturer,,industry and transportation,industry & transportation,industry & transportation,industry & transportation,bourgeoisie other,bourgeoisie,,,UC,UMC,UC,0,,,,,,,
003,als,0,1900,1900,,0,2,1,0,,Caroline Grinsinger,seine Frau,F,,,,,,,,,,,,,,#N/A,,0,,,,Frau(1),wife(1),,
003,als,0,1900,1900,,0,3,1,0,,Jeannette Grinsinger,Kinder der beiden,F,,,,,,,,,,,,,,#N/A,,0,,,,"Tochter(1,2)","daughter(1,2)",,
003,als,0,1900,1900,,0,4,1,0,,Lisa Grinsinger,Kinder der beiden,F,,,,,,,,,,,,,,#N/A,,0,,,,"Tochter(1,2)","daughter(1,2)",,
003,als,0,1900,1900,,0,5,1,0,,Auguste Grinsinger,cand. med.,M,,cand. med.,doctor,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,"Sohn(1,2)","son(1,2)",,
003,als,0,1900,1900,,0,6,1,0,,Georges Ehrstein,cand. med.,M,,cand. med.,doctor,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,,,,
003,als,0,1900,1900,,0,7,1,0,,Charles Durand,"Sekretär der Friedensliga in Paris, Neffe Fritz Grinsingers",M,,Sekretär der Friedensliga,secretary of the Friedensliga,,intermediate professionals,intermediate professions,intermediate professions,intermediate professions,bourgeoisie other,bourgeoisie,,,UC,LMC,UC,0,,,,Neffe(1),nephew(1),,
003,als,0,1900,1900,,0,8,1,0,,Dr. Kneppchen,Professor der Anthropologie,M,,Professor der Anthropologie,professor,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,,,,
003,als,0,1900,1900,,0,9,1,0,,Hans Grinsinger,"Rentner, früherer Wurstfabrikant in Leipzig",M,,Rentner|früherer Wurstfabrikant in Leipzig,manufacturer,,industry and transportation,industry & transportation,industry & transportation,industry & transportation,bourgeoisie other,bourgeoisie,,,UC,UMC,UC,0,,,,,,,
003,als,0,1900,1900,,0,10,1,0,,Karl Gauthier,"Beamter, Präsident der Sachsenbundes und Mitglied patriotischer Vereine",M,,Beamter|Präsident des Sachsenbundes|Mitglied patriotischer Vereine,civil servant / administration official|president of the Sachsenbund|,,government executive officials,government officials,government officials,government officials,government & law enforcement,authority,,,LMC,UMC,LMC,0,,,,,,,
003,als,0,1900,1900,,0,11,1,0,,Olga Gauthier,stud. phil.,F,,stud. phil,philosophy student,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UC,UC,UC,0,,,,Tochter(10),daughter(10),,
003,als,0,1900,1900,,0,12,1,0,,Rièmer,Präsident der Fanfare Alsacienne,M,,Präsident der Fanfare Alsacienne,fanfare president,,associative world ,volunteer positions,volunteer positions,volunteer positions,other,other,,,UMC,LMC,UMC,0,,,,,,,
003,als,0,1900,1900,,0,13,1,0,,Le baron de Rose,Sohn des Chef-Redakteurs des Réveil National in Paris,M,,,,,,,,,,,,,,#N/A,,0,,,,,,,
003,als,0,1900,1900,,0,14,1,0,,Marie,Magd bei Fritz Grinsinger,F,,Magd,housemaid,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,Magd(1),maid(1),,
003,als,0,1900,1900,,0,15,1,0,,Ein Diener,,M,,Diener,domestic helper,,elementary professions,elementary professions,elementary professions,elementary professions,elementary professions,elementary workers,,,LC,LC,LC,0,,,,,,,
003,als,0,1900,1900,,0,16,1,0,,Ein Gendarm,,M,,Gendarm,gendarme,,government executive officials,police & security,police & security,police & security,government & law enforcement,authority,,,LMC,LMC,LMC,0,,,,,,,
003,als,0,1900,1900,,0,17,1,0,,Ein Mitglied des Sachsenbundes,,U,,,association member,,associative world ,volunteer positions,volunteer positions,volunteer positions,other,other,,,,LC,LC,1,,,,,,,
003,als,0,1900,1900,,0,18,1,0,,Ein Mitglied der Fanfare,,U,,,association member,,associative world ,volunteer positions,volunteer positions,volunteer positions,other,other,,,,LC,LC,1,,,,,,,
003,als,0,1900,1900,,0,19,1,1,1,Mitglieder des Sachsenbundes und der Fanfare Alsacienne,,U,,,association member,,associative world ,volunteer positions,volunteer positions,volunteer positions,other,other,,,,LC,LC,1,,,,,,,
003,als,0,1900,1900,,0,20,0,1,1,Die Mitglieder der Fanfare,,U,,,,,,,,,,,,,,#N/A,,0,,,,,,,
003,als,0,1900,1900,,0,21,0,1,1,Die Mitglieder des Sachsenbundes,,U,,,,,,,,,,,,,,#N/A,,0,,,,,,,
003,als,0,1900,1900,,0,23,0,1,1,Alle,,U,,,,,,,,,,,,,,#N/A,,0,,,,,,,
004,als,1930,1890,1890,,40,1,1,0,,D'r Herr Maire,,M,,Maire,mayor,,government executive officials,government officials,government officials,government officials,government & law enforcement,authority,,,UMC,UMC,UMC,0,,,,,,,
004,als,1930,1890,1890,,40,2,1,0,,Dr. Freundlich,Privatgelehrter,M,,Privatgelehrter,scholar,,"professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical","professionals, scientific, technical",liberal & scientific professions,bourgeoisie,,,UMC,UC,UMC,0,,,,,,,
004,als,1930,1890,1890,,40,3,1,0,,Seppel,ein reicher Bauernsohn,M,,Bauer,farmer,,agriculture,agriculture,agriculture,agriculture,agriculture,agriculture,,,UMC,LC,UMC,0,,,,,,,
