placeId,lang,name,wikidataId,OSMRId,OSMLatLon,nature,comments
1,als,Schiltigheim,,69730,"48.6047148, 7.7484488",real,
2,als,Niederbronn-les-Bains,,91290,"48.9510314, 7.6421767",real,
3,als,Rouffach,,79410,"47.9569146, 7.2994054",real,
4,als,Colmar,,61423,"48.0777517, 7.3579641",real,
6,als,Strasbourg,,71033,"48.5846140, 7.7507127",real,
7,als,Rappoltsweiler,,69618,"48.1924602, 7.3248871",real,
8,als,Mulhouse,,38246,"47.7467233, 7.3389937",real,
9,als,Gundershoffen,,91334,"48.9052729, 7.6538032",real,
10,als,Haguenau,,89859,"48.8172236, 7.7885978",real,
11,als,Bischwiller,,571129,"48.7682281, 7.8597466",real,
12,als,Molsheim,,75457,"48.5419351, 7.4924679",real,
13,als,Basel,,1683619,"47.5581077, 7.5878261",real,
14,als,Karlsruhe,,62518,"49.0068705, 8.4034195",real,
15,als,Sélestat,,61449,"48.2594396, 7.4542170",real,
16,als,Rixheim,,62518,"47.7441969, 7.3968786",real,
17,als,Stuttgart,,2793104,"48.7784485, 9.1800132",real,
18,als,Guebwiller,,78931,"47.9094629, 7.2113271",real,
19,als,Paris,,7444,"48.8588897, 2.3200410",real,
20,als,Lille,,58404,"50.6365654, 3.0635282",real,
21,als,Bourges,,50312,"47.0811658, 2.3991250",real,
22,als,Hartmannswiller,,78652,"47.8626304, 7.2136696",real,
23,als,Basse-Alsace,,8717049825,"48.6287015, 7.0755985",real,
24,als,eine Wohnstube,,,,fictional,
25,als,eine Gastwirtschaft,,,,fictional,
1,ger,Berlin,Q64,62422,"52.5170365, 13.3888599",real,
2,ger,Weimar,Q3955,62493,"50.9810486, 11.3296637",real,
3,ger,Leipzig,Q2079,62649,"51.3406321, 12.3747329",real,
4,ger,Steyr ,Q260320,90143,"48.0390046, 14.4191276",real,
5,ger,Braunau am Inn,Q131128,86330,"48.2531360, 13.0395060",real,
6,ger,Darmstadt,Q2973,240074718,"49.8727750, 8.6511770",real,
7,ger,London,Q84,65606,"51.4893335, -0.1440551",real,
8,ger,Stuttgart,Q1022,2793104,"48.7784485, 9.1800132",real,
9,ger,Bad Lindeck,,,,fictional,
10,ger,ein Dorf,,,,fictional,
11,ger,Schroffenstein,Q1013918,406371252,"47.3749109, 13.679047845481955",real,the author meant the forest around that castle (Austria): https://de.wikipedia.org/wiki/Burg_Schrofenstein
12,ger,Ludersdorf,Q638501,1479258,"53.8324566, 10.8090408",real,
13,ger,Wien,Q1741,109166,"48.2083537, 16.3725042",real,
14,ger,München,Q1726,62428,"48.1371079, 11.5753822",real,
15,ger,Budapest,Q1781,1244004,"47.4813896, 19.1460941",real,
16,ger,Paris,Q90,7444,"48.8588897, 2.3200410",real,
17,ger,Königstein im Taunus,Q569661,418253,"50.1818833, 8.4652710",real,
18,ger,ein Schloß,,,,fictional,
19,ger,Buchenau,,6054208,"50.8736222, 8.5982284",real,there are two Buchenau in Germany: https://de.wikipedia.org/wiki/Buchenau_(Eiterfeld) and https://de.wikipedia.org/wiki/Buchenau_(Lindberg)
20,ger,Frankfurt am Main,Q1794,62400,"50.1106444, 8.6820917",real,
21,ger,Unterschwendlingen,,,,fictional,
22,ger,Luzern,Q4191,1682891,"47.0505452, 8.3054682",real,
23,ger,Monte Carlo,Q45240,5986438,"43.7402961, 7.4265590",real,
24,ger,Nizza,Q33959,39473,"37.9926220, 15.4119128",real,
25,ger,Thorn,Q47554,2633746,"53.0145361, 18.5965831",real,
26,ger,Hamburg,Q1055,62782,"53.5503410, 10.0006540",real,
27,ger,Pleißenbach,Q32692821,827817524,"50.8427506, 12.7774364",real,
28,ger,Kyritz,Q505160,1302369,"52.9430648, 12.3966896",real,
29,ger,St. Petersburg,Q656,118894,"27.7700475, -82.6359078",real,
30,ger,eine große Stadt,,240038067,"53.1108906, 9.4049292",fictional,
31,ger,eine Landstadt,,,,fictional,
32,ger,eine kleine Stadt,,,,fictional,
33,ger,eine Provinzstadt,,,,fictional,
34,ger,eine Residenzstadt,,,,fictional,
35,ger,Frankreich,Q142,2202162,"46.6033540, 1.8883335",real,
36,ger,die Schweiz,Q39,746433448,"50.9586571, 14.0068765",real,
37,ger,Oberbayern,Q10562,2145274,"48.2405833, 11.9699152",real,
38,ger,Pommern,Q104520,130975,"54.2455600, 18.1099000",real,
39,ger,Stralau,Q821148,6313592834,"52.4939285, 13.4713729",real,
40,ger,Wiener Neustadt,Q131612,2135956,"47.8070863, 16.2332605",real,
41,ger,Brünn,Q14960,438171,"49.1922443, 16.6113382",real,
42,ger,eine Hauptstadt,,,,fictional,
43,ger,auf dem Land,,,,fictional,
44,ger,Schlesien,Q81720,224462,"50.5687422, 19.2343995",real,
45,ger,Worms,Q3852,62453,"49.6302618, 8.3620898",real,
46,ger,Hannover,Q1715,59418,"52.3744779, 9.7385532",real,
47,ger,Oranienburg,Q14808,1310102,"52.7529379, 13.2457591",real,
48,ger,Sachsenhausen,Q319883,10631043,"52.78567038966388, 13.23872859692535",real,"Sachsenhausen could be different places, but according to context it should be that one: https://de.wikipedia.org/wiki/Sachsenhausen_(Oranienburg)"
49,ger,Nassenheide,Q1965977,240122508,"52.8140068, 13.2125703",real,
50,ger,Löwenberg,Q583171,10671277,"49.6254586, 11.5016588",real,
51,ger,Newport,Q54264,191230,"41.4899827, -71.3137707",real,
52,ger,Boston,Q100,2315704,"42.3554334, -71.0605110",real,
53,ger,Helgoland,Q3038,3787052,"54.1800452, 7.8853621",real,
54,ger,Vevey,Q68160,1685178,"46.4602978, 6.8418655",real,
55,ger,eine Universitätstadt,,,,fictional,
56,ger,Troja,Q22647,423938794,"39.957374, 26.2380175",real,
57,ger,Karthago,Q6343,1136727225,"36.8548083, 10.3309924",real,
58,ger,Olymp,Q80344,353185371,"40.08175, 22.34954","real, fictional",
59,ger,Breslau,Q1799,451516,"51.1089776, 17.0326689",real,
60,ger,Freiberg,Q20236,416561,"50.9169415, 13.3428889",real,
61,ger,Stade,Q6949,444799,"53.599794, 9.475438",real,
62,ger,Kärntnertor,Q107549636,,"48.2083537, 16.3725042",real,https://www.geschichtewiki.wien.gv.at/K%C3%A4rntnertor
63,ger,Krähwinkel,Q19965260,181615244,"51.1144303, 7.09448",real,
64,ger,Graz,Q13298,34719,"47.0708678, 15.4382786",real,
65,ger,Riga,Q1773,13048688,"56.9493977, 24.1051846",real,
66,ger,Magdeburg,Q1733,62481,"52.1315889, 11.6399609",real,
