"workId","lang","anOrd","wikidataID","titleMain","titleSub","authorId","publisherId","url","sourceDomain","sourceType","sourcePlatform","sourcePlatformOld","printed","firstPrinted","firstPrintModifier","firstPublisher","premiere","nbActs","nbScenes","genre","comments","firstMinusPrint","decadeDiff"
1,"als",1,,"Der Pfingstmontag","Lustspiel in Straßburger Mundart. Nach der vom Dichter durchgesehenen zweiten Ausgabe des Jahres 1816 herausgegeben von J. Lefftz und E. Marckwald",35,29,"n.d.",,"FullText","Numistral",,1916,1816,,,,,,,,,
2,"als",2,,"In's Ropfer's Apothek","Schwank in 3 Aufzügen von G. Stoskopf",25,30,"bpt6k9109597w",,"FullText","Numistral",,,1907,,,1907,3,,,,,
3,"als",3,,"D'r Hoflieferant","Elsassiche Komödie in 3 Aufzügen von G. Stoskopf",25,1,"https://www.numistral.fr/ark:/12148/bpt6k91095937.r=hoflieferant?rk=21459;2",,"FullText","Numistral",,,1906,,,1905,3,,,,,
4,"als",4,,"D'r Herr Maire","Lustspiel in drei Aufzügen von G. Stoskopf",25,2,"bpt6k9109728b",,"FullText","Numistral",,1935,1898,,,1898,3,"1:16 auftritte - 2:29 auftritte - 3:11 auftritte",,,,
5,"als",5,,"E Dienschtbott wurd g'suecht","E Schnirichel in 1 Akt vum Camille Jost",11,3,"https://www.numistral.fr/ark:/12148/bpt6k91096851.r=camille%20jost?rk=171674;4",,"FullText","Numistral",,,1928,,,,1,"13 scenes",,,,
6,"als",6,,"D'r poetisch Oscar","einakter",8,2,"https://www.numistral.fr/ark:/12148/bpt6k9109761z",,"FullText","Numistral",,,1937,,,,1,"10 scenes",,,,
7,"als",7,,"Sainte-Cécile!","Lustspiel in einem Aufzuge in Straßburger Mundart von Julius Greber",5,1,"https://www.numistral.fr/ark:/12148/bpt6k91095618",,"FullText","Numistral",,,1897,,,,1,"15 scenes",,,,
8,"als",8,,"Sainte Barbe","Comédie in Aam Uffzug vun Jean Riff",21,6,"bpt6k9109587h",,"FullText","Numistral",,,1919,,,,1,"16 scenes",,,,
9,"als",9,,"Goal!","E luschtigs Schwänkele üss'em Sportsläwe vun Jean Riff",21,7,"bpt6k91096087",,"FullText","Numistral",,,1922,,,,1,"10 scenes",,,,
10,"als",10,,"Der Zeuge","Gerichtsscene in einem Aufzug",5,1,"bpt6k91095188",,"FullText","Numistral",,,1906,,,,1,,,,,
11,"als",11,,"s Gaischtert im Hüss","E grüsligi Szene vun Ferd. Bastian",1,4,"bpt6k9109698n",,"FullText","Numistral",,,1927,"not before",,,1,,,,,
12,"als",12,,"D'Madam fahrt Velo","E modern's Lustspiel in 1 Akt",9,80,"bpt6k9109569k",,"FullText","Numistral",,,1901,,,,1,"10 scenes",,,,
13,"als",13,,"E Mässigkeitsaposchtel","Komische Szene mit Gesang in elsässer Mundart von Emilie Hahn",7,9,"bpt6k91095685",,"FullText","Numistral",,,1910,,,,1,,,,,
14,"als",14,,"D'r Stadtnarr","Volksstüeck in 3 Akt.",8,1,"bpt6k9109767f",,"FullText","Numistral",,,1907,,,,3,,,,,
15,"als",15,,"Zwei Meier oder D'r Bombié","Comedie-Bouffe in 1 Act",9,8,"https://www.numistral.fr/ark:/12148/bpt6k9109571n.pdf",,"FullText","Numistral",,,1896,,,,1,"9 scenes",,,,
16,"als",16,,"s Dunneraxl","Drama in einem Akt",1,5,"bpt6k9109706r",,"FullText","Numistral",,1922,1907,,,,1,"11 auftritte",,,,
17,"als",17,,"D' Madam und d'Magd","Schwank in einem Aufzug",5,1,"bpt6k9109553q",,"FullText","Numistral",,,1903,,,,1,"22 scenes",,,,
18,"als",18,,"D' Brueder","Volksstück in 5 Bilder üs dr Zitt vun 1914 bis 1918|vun Paul Clemens, Membre du Théâtre Alsacien",3,10,"bpt6k9109541h",,"FullText","Numistral",,,1920,,,,"5 bilder",,,,,
19,"als",19,,"D'r Amerikaner","Elsässisches Volksstück in 3 Aufzügen|von Paul Clemens, Membre du Théâtre Alsacien",3,10,"bpt6k9109542x",,"FullText","Numistral",,,1920,,,,3,,,,,
20,"als",20,,"D'r Hans im Schnokeloch","Volksspiel in 4 Aufzügen mit Musik, Gesang und Tanz von Ferd. Bastian",1,23,"bpt6k9109742m",,"FullText","Numistral",,1930,1903,,,,4,,,,,
21,"als",21,,"D'r verhàxt Herbst","Lustoperettle uf Colmererditsch, én vièr Acte|vo J. Mangold, Pastébeck|Musik vo J. B. Weckerlin, du Conservatoire de Paris",15,12,"bpt6k9400879x",,"FullText","Numistral",,,1879,,,,4,"1:6 scenes - 2:14 scenes - 3:8 scenes - 4:10 scenes",,,,
