publisherId,lang,nameOnPlay,normalizedName,wikidataId,placeId,coord,notes
1,fre,A. Allouard,A. Allouard,,1,"48.8588897, 2.3200410",
2,fre,"Paul Ollendorff, éditeur",Paul Ollendorff,Q17517389,1,"48.8588897, 2.3200410",
3,fre,La Librairie Théâtrale,Librairie Théâtrale,Q3237904,1,"48.8588897, 2.3200410",
4,fre,"Beck, éditeur",Beck,,1,"48.8588897, 2.3200410",
5,fre,"Calmann Lévy, Éditeur",Calmann-Lévy,Q2934320,1,"48.8588897, 2.3200410",after 1875
6,fre,"Michel Lévy Frères, Éditeurs",Michel Lévy Frères,Q3310248,1,"48.8588897, 2.3200410",1836 - 1875
7,fre,Typographie de Arbieu,,,6,"48.9274390, 2.0428293",
8,fre,E. Dentu,Dentu,Q20926521,1,"48.8588897, 2.3200410",
9,fre,J.-A. Lelong,Maison E. Lelong,Q56302959,13,"50.8550018, 4.3512334",
10,fre,J.-N. Barba,Jean-Nicolas Barba,Q15973482,1,"48.8588897, 2.3200410",1820-1839
11,fre,Tresse & Stock,Tresse & Stock,Q42512509,1,"48.8588897, 2.3200410",1861 - 1896
12,fre,Choudens Fils,Paul de Choudens,Q2063312,1,"48.8588897, 2.3200410",
13,fre,P. V. Stock,P. V. Stock,Q3579517,1,"48.8588897, 2.3200410",1896- 1921
14,fre,"Librairie Bricon & Lesot André Lesot, successeur",,,1,"48.8588897, 2.3200410",
15,fre,Imprimerie Vialat et Cie.,,,41,"49.6138706, 2.9174984",
16,fre,"D. Giraud, libraire-éditeur",,,1,"48.8588897, 2.3200410",
17,fre,Typographie Alcan-Lévy,Alcan Lévy,Q117034422,1,"48.8588897, 2.3200410",
18,fre,Marchant éditeur,,,1,"48.8588897, 2.3200410",
19,fre,Imprimerie de Madame De Lacombe,,,1,"48.8588897, 2.3200410",Victorine de Lacombe https://data.bnf.fr/17959868/victorine_de_lacombe/ 
20,fre,Librairie de Charles Gosselin,,Q28806811,1,"48.8588897, 2.3200410",
21,fre,"Mifliez, libraire-éditeur. Tresse, successeur de Barba",Mifliez,,1,"48.8588897, 2.3200410",
22,fre,Bourdilliat,Librairie nouvelle,Q60568974,1,"48.8588897, 2.3200410",
23,fre,Imprimerie de G. Olivier,Olivier,,6,"48.9274390, 2.0428293",
24,fre,Librairie dramatique,,,1,"48.8588897, 2.3200410",belongs to Dentu id8
25,fre,Tresse,,,1,"48.8588897, 2.3200410",1839 - 1861
26,fre,impr. de Morris,,,1,"48.8588897, 2.3200410",
27,fre,H. Simonis Empis,,Q19962953,,,
28,fre,Paul Dupont,,Q618263,1,"48.8588897, 2.3200410",
29,fre,Imprempta de Salvador Bonavía,,Q85434844,59,"41.3828939, 2.1774322",
1,ger,Ferdinand Reichardt & Co.,Reichardt,,1,,
2,ger,A. Bahn & Comp.,Bahn,,1,,printer not publisher
3,ger,J. Draeger,Draeger,,1,,printer not publisher
4,ger,Cosmar und Krause,Cosmar & Krause,,1,,
5,ger,A. W. Hayn,Hayn,,1,,
6,ger,Eduard Bloch,Bloch,Q1288037,1,,Eduard Bloch and Felix Bloch Erben are the same publishing house: https://de.wikipedia.org/wiki/Theatersammlung_Bloch
6,ger,Felix Bloch Erben,Bloch,Q1403355,1,,
7,ger,Philipp Reclam jun.,Reclam,Q214632,3,,
8,ger,L. Kolbe,Kolbe,,1,,
9,ger,Kühling & Güttner,Kühling,,1,,
10,ger,Michaelson,Michaelson,,1,,
11,ger,Oswald Mutze,Mutze,,3,,
12,ger,A. Entsch,Entsch,,1,,
13,ger,Ahn und Simrock,Ahn,Q402136,1,,
14,ger,Josef Weinberger,Weinberger,Q57721296,3.13,,
15,ger,Aug. Weisbrod,Weisbrod,,20,,
