workId,anOrd,wikidataId,titleMain,titleSub,authorId,publisherId,url,sourceType,sourcePlatform,printed,firstPrinted,firstPublisher,premiere,nbActs,nbScenes,comments
001,1,,Le Tour du Cadran,Folie-vaudeville en cinq actes et six tableaux,"66, 67",6,https://www.google.fr/books/edition/Le_tour_du_cadran/HhRWAAAAcAAJ?hl=fr&gbpv=0,,Google Books,1872,,,1872,5,"7, 11, 9, 9, 5",
002,121,,Le Homard,comédie en un acte,20,6,https://books.google.fr/books?id=Y0uC46z30QEC&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Google Books,1874,,,1874,1,10,
003,52,Q107266236,Le Député de Bombignac,Comédie en trois actes,37,11,https://www.google.fr/books/edition/Le_d%C3%A9put%C3%A9_de_Bombignac/OQxJAQAAIAAJ?hl=fr&gbpv=0,,Google Books,1887,,,1884,3,"14, 15, 11",
004,55,Q19210904,Les Fiancés de Loches,Vaudeville en trois actes,"38, 36",2,https://www.google.fr/books/edition/Les_fianc%C3%A9s_de_loches/J5E7AQAAMAAJ?hl=fr&gbpv=0,,Google Books,1888,,,1888,3,"12, 18, 22",
005,2,Q65659179,Niniche,Vaudeville en trois actes,"1,2",1,https://books.google.fr/books?id=RWp3nQEACAAJ,,Google Books,1878,,,1878,3,"20,17,11",
006,141,,Le cabinet Piperlin,opéra-bouffe en trois actes,"71, 72",28,https://gallica.bnf.fr/ark:/12148/bpt6k1281066x/f7.item,,Gallica,1897,,,1897,3,,
007,69,,L’héroïque Le Cardunois,Comédie en trois actes,37,11,https://www.google.fr/books/edition/L_h%C3%A9ro%C3%AFque_Le_Cardunois/M3U6AQAAMAAJ?hl=fr&gbpv=0,,Google Books,1894,,,1894,3,"22, 18, 11",
008,65,,La Famille Pont-Bicquet,Comédie en trois actes,37,5,https://books.google.fr/books?id=6nY5AQAAMAAJ&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,,Google Books,1913,1892,11,1892,3,"13, 13, 14",
009,50,,Une matinée de contrat,Comédie en un acte,36,2,https://www.google.fr/books/edition/Une_matin%C3%A9e_de_contrat/uithXllT3SIC?hl=fr&gbpv=1&dq=vaudeville+inauthor:desvalli%C3%A8res&pg=PA50&printsec=frontcover,,Google Books,1883,,,1883,1,12,
010,58,Q2553475,Le mariage de Barillon,Vaudeville en trois actes,"38, 36",,https://libretheatre.fr/le-mariage-de-barillon-de-georges-feydeau/,,,,1890,2,1890,3,,
011,66,Q3227495,Le système Ribadier,Comédie en trois actes et en prose,"38, 4",,https://libretheatre.fr/le-systeme-ribadier-de-georges-feydeau/,,,,?,,1892,3,,
012,57,Q19176633,L’affaire Edouard,Comédie-vaudeville en trois actes,"38, 36",,https://libretheatre.fr/laffaire-edouard-de-georges-feydeau/,,,,,,1889,3,,
013,70,Q3203961,L’hôtel du libre-échange,Pièce en trois actes,"38, 36",,https://libretheatre.fr/hotel-du-libre-echange-feydeau/,,,,?,,1894,3,,
014,71,Q3226710,Le Ruban,Comédie en trois actes,"38, 36",,https://libretheatre.fr/le-ruban-de-georges-feydeau/,,,,?,,1894,3,,
015,18,,"Gavaut, Minard et Cie",Comédie en trois actes,20,6,https://www.google.fr/books/edition/Gavaut_Minard_Cie/JWc6AAAAcAAJ?hl=fr&gbpv=1&dq=edmond+gondinet&printsec=frontcover,,Google Books,1869,,,1869,3,"15,16,11",
016,42,,Le Panache,Comédie en trois actes,20,6,https://www.google.fr/books/edition/Le_panache/o4r1rCmcseYC?hl=fr&gbpv=0,,,1876,,,1875,3,"13, 18, 20",
017,49,,Tête de Linotte,Comédie en trois actes,20,5,https://www.google.fr/books/edition/Gavaut_Minard_et_cie_Christiane_La_crava/CRFJAQAAIAAJ?hl=fr&gbpv=0,,Google Books,1892,1886,5,1882,3,,maybe not 1st ed. 
018,45,,Le Tunnel,Comédie en un acte,20,5,https://www.google.fr/books/edition/Le_panache_Les_grandes_demoiselles_Jonat/rglJAQAAIAAJ?hl=fr&gbpv=0,,Google Books,1877,,,1877,1,,
