workId,lang,decade,dcdReal,characterId,cl,isGrp,cGrp,persName,roleDesc,sex,age,profession,isComposedProf,normalizedProfession,rdmNbr,chosenGrp,chosenGrp2, modifier,professionalGroup,profGroupCoarse,profGroupCoarser,role,title,socialClass,origin,raceOrEthnicity,accentDialect,relations,normalizedRelation,genre,comments
1,fre,1870,1870,1.0,1.0,0.0,,Gazinard,,M,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,2.0,1.0,0.0,,Piedalouette,notaire,M,,notaire,,notary,,"professionals, scientific, technical",,,"professionals, scientific, technical",liberal and scientific professions,bourgeoisie,,,UC,,,,,,,
1,fre,1870,1870,3.0,1.0,0.0,,Séraphin,,M,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,4.0,1.0,0.0,,Gaétan,,M,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,5.0,1.0,0.0,,Beaucoq,,M,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,6.0,1.0,0.0,,Dupontois,secrétaire du commissaire,M,,secrétaire du commissaire,,secretary,,intermediate professions,,,intermediate professions,bourgeoisie other,bourgeoisie,,,LMC,,,,,,,
1,fre,1870,1870,7.0,1.0,0.0,,Monsieur Loyal,régisseur du Cirque des Champs-Elysées,M,,régisseur,,stage manager,,"professionals, scientific, technical",,,"professionals, scientific, technical",liberal and scientific professions,bourgeoisie,,,UMC,,,,,,,
1,fre,1870,1870,8.0,1.0,0.0,,Filigrane,,M,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,9.0,1.0,0.0,,Ducastor,agent,M,,agent,,police officer,,police and security,,,police and security,government and law enforcement,authority,,,LMC,,,,,,,
1,fre,1870,1870,10.0,1.0,0.0,,Pignolet,concierge,M,,concierge,,,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
1,fre,1870,1870,11.0,1.0,0.0,,Pitanchart,premier héritier,M,,,,,,,,,,,,,héritier,,,,,,,,
1,fre,1870,1870,12.0,1.0,0.0,,Valbreuse,deuxième héritier,M,,,,,,,,,,,,,héritier,,,,,,,,
1,fre,1870,1870,13.0,1.0,0.0,,Edmond,sorcier de Mabille,M,,sorcier,,wizard,,hobby,,,hobby,other,other,,,,,,,,,,
1,fre,1870,1870,14.0,1.0,0.0,,L'acheteur de tabac,,M,,acheteur,,consumer,,hobby,,,hobby,other,other,,,,,,,,,,
1,fre,1870,1870,15.0,1.0,0.0,,L'acheteur de cigares,,M,,acheteur,,consumer,,hobby,,,hobby,other,other,,,,,,,,,,
1,fre,1870,1870,16.0,1.0,0.0,,L'acheteur de tabac en carotte,,M,,acheteur,,consumer,,hobby,,,hobby,other,other,,,,,,,,,,
1,fre,1870,1870,17.0,1.0,0.0,,L'acheteur de tabac en contrebande,,M,,acheteur,,consumer,,hobby,,,hobby,other,other,,,,,,,,,,
1,fre,1870,1870,18.0,1.0,0.0,,Un Monsieur,(deuxième acte),M,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,19.0,1.0,0.0,19-20,Premier Musicien,ambulant,M,,musicien ambulant,,street musician,,artists,,,artists,artists,artists,,,LC,,,,,,,
1,fre,1870,1870,20.0,1.0,0.0,,Deuxième musicien,idem,M,,musicien ambulant,,street musician,,artists,,,artists,artists,artists,,,LC,,,,,,,
1,fre,1870,1870,21.0,1.0,0.0,,Un gamin,,M,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,22.0,1.0,0.0,,Un marmiton,,M,,marmiton,,kitchen helper,,service and sales,,,service and sales,commerce and services,bourgeoisie,,,LC,,,,,,,
1,fre,1870,1870,23.0,1.0,0.0,,Panatella,marchande de tabac,F,,marchande de tabac,,tobacco merchant,,service and sales,,,service and sales,commerce and services,bourgeoisie,,,LMC,,,,,,,
1,fre,1870,1870,24.0,1.0,0.0,,Madame Georgina Beaucoq,,F,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,25.0,1.0,0.0,,Ernesta,fille de Gazinard,F,,,,,,,,,,,,,,,,,,fille(1),daughter(1),,
1,fre,1870,1870,26.0,1.0,0.0,,Madeleine,bonne de Gazinard,F,,bonne,,domestic worker,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,bonne(1),domestic worker(1),,
1,fre,1870,1870,27.0,1.0,0.0,,Eglantine,,F,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,28.0,1.0,0.0,,Crème-de-Chic,,F,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,29.0,1.0,0.0,,Nana,,F,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,30.0,1.0,0.0,,Fleur-de-Braise,,F,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,31.0,1.0,0.0,,De Richenature,,F,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,32.0,1.0,0.0,,Bernardine,,F,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,33.0,1.0,0.0,,Verdurette,,F,,,,,,,,,,,,,,,,,,,,,
1,fre,1870,1870,34.0,1.0,0.0,34-39,Pepita,Écuyère,F,,écuyère,,squire,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
1,fre,1870,1870,35.0,1.0,0.0,,Magnolia,,F,,écuyère,,squire,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
1,fre,1870,1870,36.0,1.0,0.0,,Tata,,F,,écuyère,,squire,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
1,fre,1870,1870,37.0,1.0,0.0,,Régalia,,F,,écuyère,,squire,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
1,fre,1870,1870,38.0,1.0,0.0,,Lulu,,F,,écuyère,,squire,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
1,fre,1870,1870,39.0,1.0,0.0,,Cazadores,,F,,écuyère,,squire,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
1,fre,1870,1870,40.0,1.0,0.0,,Madame Valbreuse,première héritière,F,,,,,,,,,,,,,héritière,,,,,,,,
1,fre,1870,1870,41.0,1.0,0.0,,Madame Dufrisard,deuxième héritière,F,,,,,,,,,,,,,héritière,,,,,,,,
1,fre,1870,1870,42.0,0.0,1.0,,Héritiers,,F,,,,,,,,,,,,,héritier,,,,,,,,
1,fre,1870,1870,43.0,0.0,1.0,,Héritières,,F,,,,,,,,,,,,,héritière,,,,,,,,
1,fre,1870,1870,44.0,0.0,1.0,,Acheteurs de tabac,,U,,acheteurs,,consumer,,hobby,,,hobby,other,other,,,,,,,,,,
1,fre,1870,1870,45.0,0.0,1.0,,Habitués de Mabille,,U,,habitué,,consumer,,hobby,,,hobby,other,other,,,,,,,,,,
1,fre,1870,1870,46.0,0.0,1.0,,Ecuyers,,M,,écuyers,,squire,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
1,fre,1870,1870,47.0,0.0,1.0,,Palefreniers,,M,,palefreniers,,horse groomer,,elementary professions,,,elementary professions,elementary professions,elementary workers,,,LC,,,,,,,
